Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0113113	1036	245	293	234	89	92	535	367	413	120	122	114	278.49	438	119	0.27	-1.89	-7.553	4.24586019960875e-14	1.0934811308668e-11	0.0201	0.1047	0.0396	0.0396	TRUE	0.3585
FBtr0299968	2277	879	1073	492	294	283	1177	1316	1511	251	404	351	835.11	1335	335	0.251	-1.997	-7.486	7.09946593549863e-14	1.78028449735175e-11	0.0318	0.0937	0.0493	0.0493	TRUE	0.4256
FBtr0087295	2017	574	676	724	218	235	1042	860	952	370	300	291	635.84	951	320	0.338	-1.566	-7.479	7.50288603106385e-14	1.83320515358993e-11	0.0118	0.0954	0.0294	0.0294	TRUE	0.226
FBtr0087307	1934	837	913	707	302	247	999	1253	1286	361	415	306	770.24	1179	361	0.306	-1.707	-7.474	7.78515143478683e-14	1.85461770055209e-11	0.0175	0.0942	0.0357	0.0357	TRUE	0.2199
FBtr0082139	749	168	148	94	30	41	387	252	208	48	41	51	164.53	282	47	0.165	-2.599	-7.45	9.31610221246488e-14	2.16519848737995e-11	0.0584	0.1162	0.075	0.075	TRUE	0.3857
FBtr0111030	6171	1226	985	666	132	170	3189	1836	1387	340	181	211	1190.78	2137	244	0.115	-3.125	-7.419	1.18080373647486e-13	2.67901876306404e-11	0.1528	0.0921	0.1255	0.1255	TRUE	0.3143
FBtr0080932	703	221	329	129	50	86	363	331	463	66	69	107	233.15	386	81	0.207	-2.271	-7.351	1.96466054649782e-13	4.35377915059946e-11	0.0406	0.1079	0.061	0.061	TRUE	0.7048
FBtr0089963	1929	493	465	457	165	170	997	738	655	234	227	211	510.2	797	224	0.281	-1.834	-7.313	2.60630882064678e-13	5.51900372265403e-11	0.0255	0.0972	0.0423	0.0423	TRUE	0.4509
FBtr0310653	230	121	95	42	7	18	119	181	134	21	10	22	81.21	145	18	0.127	-2.976	-7.293	3.02152703857313e-13	6.25915894577464e-11	0.052	0.1449	0.0893	0.0893	TRUE	0.49
FBtr0079708	1154	377	462	492	158	207	596	565	651	251	217	257	422.82	604	242	0.401	-1.317	-6.991	2.72335032526309e-12	5.19016104988639e-10	0.0022	0.0991	0.0225	0.0225	TRUE	0.0796
FBtr0303384	3045	1221	589	552	125	122	1574	1828	829	282	172	151	806.12	1410	202	0.144	-2.8	-6.801	1.04248593654253e-11	1.91035547871418e-09	0.1243	0.0939	0.1192	0.1192	TRUE	0.3113
FBtr0070457	2875	973	879	1230	375	425	1486	1457	1238	629	515	527	975.32	1394	557	0.4	-1.32	-6.748	1.50079028529271e-11	2.69830766576496e-09	0.01	0.0929	0.0263	0.0263	TRUE	0.1556
FBtr0073423	3319	583	819	387	113	51	1715	873	1153	198	155	63	692.99	1247	139	0.112	-3.162	-6.62	3.58633457502663e-11	6.19968561475399e-09	0.1985	0.0948	0.1603	0.1603	TRUE	0.3221
