Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0335475	860	133	63	3438	406	453	444	199	89	1757	558	562	601.58	244	959	3.917	1.97	6.762	1.36065926098857e-11	1.13577252201963e-09	0.0869	0.0363	0.0569	0.0569	TRUE	NA
FBtr0305679	536	170	220	1168	487	521	277	255	310	597	669	646	459	281	637	2.266	1.18	6.753	1.45028813290707e-11	1.19948142368415e-09	9e-04	0.0396	0.0192	0.0192	TRUE	NA
FBtr0299564	168	72	72	441	194	235	87	108	101	225	267	291	179.93	99	261	2.642	1.402	6.477	9.36115017114914e-11	7.2128862216162e-09	0	0.0615	0.0264	0.0264	TRUE	NA
FBtr0299837	7634	2943	2209	20229	6711	6234	3945	4407	3111	10339	9225	7733	6459.96	3821	9099	2.372	1.246	6.425	1.32291096981203e-10	1.00218843637441e-08	0.0271	0.0265	0.0269	0.0269	TRUE	NA
FBtr0110925	63	26	37	851	125	165	33	39	52	435	172	205	155.84	41	271	6.216	2.636	6.395	1.607803432653e-10	1.20786232878056e-08	0.1531	0.067	0.1061	0.1061	TRUE	NA
FBtr0110876	130	22	18	471	91	86	67	33	25	241	125	107	99.66	42	158	3.806	1.928	6.358	2.04233034250488e-10	1.48480709981302e-08	0.0024	0.0904	0.0469	0.0469	TRUE	NA
FBtr0074745	234	106	121	537	281	306	121	159	170	274	386	380	248.39	150	347	2.305	1.205	6.353	2.11441830108139e-10	1.5249184787399e-08	0	0.0516	0.0209	0.0209	TRUE	NA
FBtr0080892	451	135	163	913	374	393	233	202	230	467	514	487	355.5	222	489	2.199	1.137	6.193	5.89091342389467e-10	4.08512188587772e-08	0.0011	0.0437	0.0207	0.0207	TRUE	NA
FBtr0071246	149	35	38	544	103	130	77	52	54	278	142	161	127.3	61	194	3.138	1.65	6.179	6.47073669186337e-10	4.45295353260674e-08	0.0067	0.0763	0.0386	0.0386	TRUE	NA
FBtr0076808	1109	486	609	2226	1041	1204	573	728	858	1138	1431	1493	1036.77	720	1354	1.891	0.919	6.117	9.54671889932347e-10	6.47095269754896e-08	0.0033	0.0318	0.0152	0.0152	TRUE	NA
FBtr0071004	32	11	14	166	60	92	17	16	20	85	82	114	55.69	18	94	5.311	2.409	6.093	1.10484151544589e-09	7.3778861198109e-08	0	0.1417	0.0771	0.0771	TRUE	NA
FBtr0077008	1615	457	668	3446	1355	1338	835	684	941	1761	1863	1660	1290.53	820	1761	2.147	1.102	6.033	1.61227420760396e-09	1.03818942725355e-07	0.0169	0.0306	0.0231	0.0231	TRUE	NA
FBtr0084291	2785	755	835	5039	1398	1507	1439	1131	1176	2575	1922	1869	1685.35	1249	2122	1.693	0.759	5.915	3.32673369900104e-09	2.04017036030574e-07	8e-04	0.0294	0.0111	0.0111	TRUE	NA
FBtr0303709	27	6	10	148	77	56	14	9	14	76	106	69	48	12	84	6.607	2.724	5.913	3.36803668466944e-09	2.05154396704696e-07	0.042	0.1603	0.1043	0.1043	TRUE	NA
